model,accuracy,f1,precision,recall,auc
Logistic Regression,0.9735054347826086,0.8488372093023255,0.8264150943396227,0.8725099601593626,0.9915273921025886
Support Vector Machine,0.9775815217391305,0.8791208791208791,0.8135593220338984,0.9561752988047809,0.9954863057979741
