fold,model,variant,accuracy,precision,recall,f1,auc,threshold
0,Support Vector Machine,base,0.9830220713073005,0.9651162790697675,0.83,0.8924731182795699,0.9926159554730983,
0,Support Vector Machine,tuned,0.9830220713073005,0.8389830508474576,0.99,0.908256880733945,0.9926159554730983,0.02103667718026735
