fold,model,variant,accuracy,precision,recall,f1,auc,threshold
0,Naive Bayes,base,0.9261460101867572,1.0,0.13,0.23008849557522124,0.9602133580705009,
0,Naive Bayes,tuned,0.9702886247877759,0.8421052631578947,0.8,0.8205128205128205,0.9602133580705009,0.004430207871154066
